"","text"
"374","es transaksi nya ceenukaran kode voucher   kendalaterima kasih tokoa"
"375","    login  eror mulu tolong  cedi aiki  adakan  gratis ongkirr"
"376","mantap"
"377","bagus"
"378","macan"
"379","bagus"
"380","mantap"
"381","ok"
"382","toko amanah barang sesuai deskriknya tokoa mantap"
"383","mengecewakan  cash back  free ongkir  dibedakan  dl sy agum aasi "
"384","terbaik dah"
"385"," membantu ok banget"
"386"," "
"387"," membantu"
"388","mantap"
"389","tolong  k tokokembang kn lg msalah cs  kurir ny"
"390","beli a susah kali    sukses dah limitlucu "
"391","ok"
"392","kembalikan fitur gabungan gratis ongkir  cashback   edit turunin bintang"
"393"," "
"394","keren banget  keren   tokoa  vitur video  osi affiliate dijamin   rame tokoa semoga terealisasi"
"395","ok"
"396","o mantab"
"397","terimakasih tokoa  traktiran belanja  runya"
"398","bagus iriman  ing  harga sesuai dg barang yg  ukan"
"399","good"
"400","bintang   aasi     akun  tdk   muncul    kesalahan  serverulangi beberaaat    udah diulang ulang  gak bisasam"
"401","  fitur top up dana transfer  go  bank  lancar kalo   fitur tarik tunai via mini market"
"402","oke"
"403","  aruan"
"404","kurir gak tangung  barang gak samtaransaksi berhasil dititi  tetangga taanonfirmasi gak tau tetangga   tokdan anteraja gak bertanggungjawab  menyesal bayar duluan  go   udah dibayar  sembarangan  kecewa  bertahuntahun belanja online  kali  belanja  uang diterima  barang    gak   pakek tokopedia"
"405","summakin kesini tokoa  mahal ongkir nya   ribu   kaya harga barang maaf  kasih bintang  mohon  aiki "
"406","lengkan sesuai kebutuhanmantul"
"407","beralih  aebelah gak seru "
"408","hello sir  memai saran tolong   ayarannya  aasi dana terimakasih   tolong resya"
"409","  ue   ue  maksudnya aminta  haaya"
"410","  "
"411","pengembalian dana makan  sangaaaatttt  gimana  org tetiba membatalkan nan  karenakan   saudara  org tua jatuh sakit  membutuhkan biaya mengecewakan"
"412",""
"413","  ganti bintang   o gratis ongkir   gabung  o cashback sei "
"414","fitur cod kenaak sei  biaya transaksi   aasi gak   tulis dirincian  hjadi gak   hdi box tan"
"415",""
"416","tosuksez truz"
"417","kenaisa didownload tk  diinstal"
"418","aasi bodong masak saldo   tahan"
"419","good"
"420","mantap"
"421"," tiambayaran dikenakan biaya kalaugitu    tertentudiamond diistimewakan   iya yg udah diamond disamakan  transaksi  berasa gaada istimewanya "
"422","manta"
"423","kenaenu investasi  gotidak  dibuka ganti hdahal email  kaya   mohon erahanya k tokoa"
"424","bagus"
"425","bagus  kum"
"426","mantap"
"427"," seindah "
"428","aduheror lagieror  nda  verivikasi ayaran  belanja  susahagi  komn tokoa care nya  susah  hubungi aduhkenani tokoa "
"429","atenan"
"430","heran ya bintang nya   ulasan  bintang  sy kecewa  tokopedia udah uninstall   download     pembeli yg  rugikan cs nya ga  solusi "
"431"," "
"432","mantaongkir gratis "
"433","good"
"434","logo  "
"435","good job"
"436","hilangin free ongkir  akun gue buru buru  gojek pas cekout  ganti gratis ongkir  anteraja bangkeeeeeee"
"437","barang telat"
"438","pengiriman   ah ah kurirnya  ng     seminggu  mutermuter kurirnya  males  toko"
"439","keren"
"440","mantap"
"441","scam  cashback  masuk   eritahuan an  gak kaya si oren klo gak  cashback   habis dikasih tau "
"442"," onya sukses  tokoa"
"443","  elian  ribu ru taembelian  batalkan  sistem  saldo     ribu"
"444","bagus"
"445","bgus"
"446","thanks toko a"
"447","engga ragu belanda  toped"
"448","keren"
"449","  asik fitur aasi nya  biaya aasi  trus klo gagal transaksi biaya aasinya g   onya g bs  o ongkir  cashback semoga  kayak dlu  tok"
"450"," mudah  terjangkau"
"451","kecewa   kunggak   karna  h salah   kuongkirdulu    duanyasemoga    sei "
"452","membantu  utk belanja on line "
"453","ceyanannya"
"454","tokoa brengsek   cod jarak    bonafid  toko a  a armada angkutan  sei lazada exs  toko a  a gudang   kota kota  sei lazada exs  harga barang  terkontrol k managemen  kemahalan   "
"455","kenaokoa   cantumkan no rekening sihkan takutnya bocor  dialih fungsikan  orang orang   anggung          dicantumkan no rekeningnya  "
"456","herwandi ariya ayu powati liya raamal dila pahari diya dabu ujin udjjdudydhdhdbfvfbfhdbdjsiue"
"457","aasi keren sayangnya   lamban semoga kedeya   cedan  terkesan lemot"
"458","layanannya  "
"459","mantapx"
"460","jajal "
"461","senang belanja  tokoa"
"462","mantahkasih tos gratis     sellerbiar  laris jualannya"
"463",""
"464","biaya transaksi nya naek   gak    r eh  naek r"
"465","mantangguna  daharga rdan gratis ongkir"
"466","tetaren donk "
"467"," semangat ya kakak jualannya   da   ambil   kemajuan bangsa  negara "
"468","very good"
"469","ok"
"470","pencairan  ualannya    merugikan seller"
"471",""
"472","transaksinya aman cedan lancar"
"473","tolong tokoa mengevaluasi exsi yg bekerjasama    yg klo kirim barang  lambat   kenyamanan belanja hilang   gau   exsi aemua  tau exsi ng lambat "
"474","terima kasih"
"475","mantap"
"476","kenangkir ikutan toko sebelah  uh nich"
"477","diberanda arian uk muncul  uk  dicarigiliran diklik uknya   waduhtujuanmu nggak        uk   h gitu   gak  uknya kenauncul diberanda arian"
"478","semoga maju "
"479","mantap"
"480","mantab tokoa"
"481","tolong   sertakan eksi iriman jne  recomended meresahkan"
"482","kebanyakan biaya beban"
"483","tolong banyakin lg o nya donk hehehehe"
"484","oke bngt"
"485",""
"486","good job and simple"
"487","tolong aya  aiki   daftar susah "
"488","aasinya  bagus tetaasih  yg     gunaan nya"
"489","oke"
"490","no ongkir hoax"
"491","  kecewa  tokoa  belih barang ditokoa barang nya rusak   garansi    bilang   ditukar trus auna nya garansi   ubah ulasan gak  tokoa seinya  tukang tioustamer garansi gak berlaku   tokoa garansi  diabaikan   tokoa   ubah ulasanan gak  ya  unistal aja tokoa  anzing banget"
"492","  dii  bersamaan gratis ongkir  cashbacknya"
"493","susah   regis server noob b auto uninstall"
"494","jossssgandoossssss"
"495","   gratis ongkir gak  cashbacknya  gak gratis  ongkirnya     biaya layanan"
"496","good n bagus "
"497","terima kasih tokoa"
"498","uninstal   biaya ongkir nya  gila  bye bye "
"499","kom  suka  suka"
"500","bagus"
"501","maaf aaya hairiman  alamat alamat   dilayani thks"
"502","memudahkn belanja  ribet cepat"
"503","  kecewa  download  masuk metode ayaran aja  bnget banding  ecommerce sebelah  kalah  si oren aja ga ginigini  loading nya iklan nya sih mantatis ktantuk kualitas aasi minus ongkir hanyar   toko     ya  biaya voucher ga  digabung  toko  wkwk sulit sulit"
"504"," membantu "
"505","mantap"
"506","free ongkirkutidak   gabung"
"507","keseringan barang rusak han kurir  lengkaring kali i reguler siceantaraja taarang samya  sei ambil  gratis      cs  membantu  "
"508","ku kasih bintang  wlw bru nyoba"
"509","bikin susah transaksi  dana  "
"510"," membantu"
"511","aasinya jelek     gak   aasi   tokoa    barang yg  order    toko gak   toko yg kirim barang yg  order nama barang yg  order  meter t carry futura carbu al stelah  order  chat ual   nda ual blang barangnya ready taetika  order gk  kirim   batalkan"
"512","error   ngga  dibuka belanjaannya"
"513","kasih bintang  aja cashback tdk  dii bersamaan dgn gratis ongkir "
"514","trasaksi mudah semudah mudahnya  bonusnya"
"515","harganya gak ngotak"
"516","  inta wanita tau  buaya"
"517","iya"
"518","kecewa     alasan berbelanja   nya hatokoa"
